"weekly","doc_category","doc_source_type","country","term_category","term","count"
"2017-10-09 00:00:00-03","Agroalimentar","News","Brasil","Agroalimentar","Processos","1"
"2017-10-09 00:00:00-03","Agroalimentar","News","México","Agroalimentar","Processos","1"
"2017-10-09 00:00:00-03","CeluloseEPapel","News","China","Celulose e Papel","Sustentabilidade","1"
"2017-10-09 00:00:00-03","CeluloseEPapel","News","Colômbia","Celulose e Papel","Sustentabilidade","1"
"2017-10-09 00:00:00-03","CeluloseEPapel","News","Finlândia","Celulose e Papel","Sustentabilidade","1"
"2017-10-09 00:00:00-03","CeluloseEPapel","News","Japão","Celulose e Papel","Sustentabilidade","1"
"2017-10-09 00:00:00-03","CeluloseEPapel","News","Países Baixos","Celulose e Papel","Sustentabilidade","1"
"2017-10-09 00:00:00-03","CeluloseEPapel","News","Rússia","Celulose e Papel","Sustentabilidade","1"
"2017-10-09 00:00:00-03","CeluloseEPapel","News","Suécia","Celulose e Papel","Sustentabilidade","1"
"2017-10-09 00:00:00-03","CeluloseEPapel","News","Índia","Celulose e Papel","Sustentabilidade","1"
"2017-10-09 00:00:00-03","EconomiaDoMar","News","Açores","Recursos Oceanicos","Biotecnologia Marinha","1"
"2017-10-09 00:00:00-03","EconomiaDoMar","News","Islândia","Recursos Oceanicos","Biotecnologia Marinha","1"
"2017-10-09 00:00:00-03","EconomiaDoMar","News","Liechtenstein","Recursos Oceanicos","Biotecnologia Marinha","1"
"2017-10-09 00:00:00-03","EconomiaDoMar","News","Noruega","Recursos Oceanicos","Biotecnologia Marinha","1"
"2017-10-09 00:00:00-03","EconomiaDoMar","News","Portugal","Recursos Oceanicos","Biotecnologia Marinha","1"
"2017-10-09 00:00:00-03","Energia","News","Alemanha","Energia","Eficiencia energetica","2"
"2017-10-09 00:00:00-03","Energia","News","Austrália","Energia","Eficiencia energetica","1"
"2017-10-09 00:00:00-03","Energia","News","Brasil","Energia","Eficiencia energetica","3"
"2017-10-09 00:00:00-03","Energia","News","China","Energia","Eficiencia energetica","1"
"2017-10-09 00:00:00-03","Energia","News","Estados Unidos","Energia","Eficiencia energetica","1"
"2017-10-09 00:00:00-03","Energia","News","Irã","Energia","Eficiencia energetica","2"
"2017-10-09 00:00:00-03","Energia","News","Alemanha","Energia","Energias Renovaveis","1"
"2017-10-09 00:00:00-03","Energia","News","Austrália","Energia","Energias Renovaveis","1"
"2017-10-09 00:00:00-03","Energia","News","Brasil","Energia","Energias Renovaveis","1"
"2017-10-09 00:00:00-03","Energia","News","Estados Unidos","Energia","Energias Renovaveis","1"
"2017-10-09 00:00:00-03","Energia","News","Alemanha","Energia solar","Energia solar fotovoltaica","1"
"2017-10-09 00:00:00-03","Energia","News","Austrália","Energia solar","Energia solar fotovoltaica","1"
"2017-10-09 00:00:00-03","Energia","News","Brasil","Energia solar","Energia solar fotovoltaica","1"
"2017-10-09 00:00:00-03","Energia","News","Estados Unidos","Energia solar","Energia solar fotovoltaica","1"
